,link
0,https://www.edx.org/professional-certificate/berkeleyx-science-of-happiness-at-work
1,https://www.edx.org/micromasters/hecmontrealx-ux-design-and-evaluation
2,https://www.edx.org/micromasters/purduex-quantum-technology-computing
3,https://www.edx.org/micromasters/writing-for-performance-and-the-entertainment-industries
4,https://www.edx.org/micromasters/doanex-sustainable-agribusiness
5,https://www.edx.org/micromasters/mitx-finance
6,https://www.edx.org/professional-certificate/ucx-statistical-analysis-in-r
7,https://www.edx.org/micromasters/purduex-reliability-and-decision-making-in-engineering-design
8,https://www.edx.org/professional-certificate/ibm-cloud-application-development-foundations
9,https://www.edx.org/micromasters/purduex-quantum-technology-detectors-and-networking
10,https://www.edx.org/professional-certificate/usmx-product-management
11,https://www.edx.org/microbachelors/doanex-marketing-essentials
12,https://www.edx.org/professional-certificate/harvardx-computer-science-for-artifical-intelligence
13,https://www.edx.org/microbachelors/ricex-elements-of-data-science
14,https://www.edx.org/xseries/google-power-searching-with-google
15,https://www.edx.org/professional-certificate/humorx-remotely-humorous
16,https://www.edx.org/microbachelors/nyux-computer-science-fundamentals
17,https://www.edx.org/microbachelors/wgux-introduction-to-information-technology
18,https://www.edx.org/professional-certificate/harvardx-tiny-machine-learning
19,https://www.edx.org/professional-certificate/ubcx-professional-certificate-business-fundamentals
20,https://www.edx.org/professional-certificate/harvardx-computer-science-for-web-programming
21,https://www.edx.org/professional-certificate/harvardx-computer-science-for-game-development
22,https://www.edx.org/professional-certificate/harvardx-computer-science-and-mobile-apps
23,https://www.edx.org/xseries/harvardx-cs50-ap-computer-science-principles
24,https://www.edx.org/professional-certificate/harvardx-data-science
25,https://www.edx.org/professional-certificate/ibm-data-science
26,https://www.edx.org/professional-certificate/python-data-science
27,https://www.edx.org/professional-certificate/ibm-applied-ai
28,https://www.edx.org/xseries/harvardx-fundamentals-of-neuroscience
29,https://www.edx.org/professional-certificate/upvalenciax-basic-spanish
30,https://www.edx.org/professional-certificate/upvalenciax-excel-para-los-negocios
31,https://www.edx.org/xseries/harvardx-world-religions-through-scriptures
32,https://www.edx.org/professional-certificate/anahuacx-ingles-basico-para-negocios
33,https://www.edx.org/xseries/mitx-computational-thinking-using-python
34,https://www.edx.org/micromasters/mitx-statistics-and-data-science
35,https://www.edx.org/professional-certificate/w3cx-front-end-web-developer
36,https://www.edx.org/professional-certificate/upvalenciax-fundamentos-de-microsoft-office-para-la-empresa
37,https://www.edx.org/professional-certificate/harvardx-data-analysis-for-life-sciences
38,https://www.edx.org/professional-certificate/upvalenciax-upper-intermediate-english
39,https://www.edx.org/micromasters/iimbx-business-management
40,https://www.edx.org/micromasters/mitx-supply-chain-management
41,https://www.edx.org/xseries/harvardx-us-government
42,https://www.edx.org/professional-certificate/data-science-foundations
43,https://www.edx.org/professional-certificate/ibm-essential-technologies-for-business
44,https://www.edx.org/professional-certificate/introduction-to-python-programming
45,https://www.edx.org/micromasters/iimbx-entrepreneurship
46,https://www.edx.org/micromasters/bux-digital-product-management
47,https://www.edx.org/professional-certificate/dartmouth-imtx-c-programming-with-linux
48,https://www.edx.org/professional-certificate/marketing-digital
49,https://www.edx.org/micromasters/uc-san-diegox-data-science
50,https://www.edx.org/professional-certificate/uwashingtonx-english-for-business-networking
51,https://www.edx.org/professional-certificate/ibm-ciencia-de-datos
52,https://www.edx.org/micromasters/berkeleyx-marketing-analytics
53,https://www.edx.org/professional-certificate/foundations-of-ai
54,https://www.edx.org/xseries/wasedax-steps-in-japanese-for-beginners
55,https://www.edx.org/professional-certificate/tumx-lean-six-sigma-green-belt-certification
56,https://www.edx.org/professional-certificate/tumx-six-sigma-and-lean
57,https://www.edx.org/xseries/introduction-developmental-social
58,https://www.edx.org/professional-certificate/ibm-inteligencia-artificial-aplicada
59,https://www.edx.org/professional-certificate/columbiax-corporate-finance
60,https://www.edx.org/micromasters/columbiax-artificial-intelligence
